Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
22/01/2021,John,Boozman,US Senator,JNJ,Johnson & John,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,KMB,Kimberly-Clark,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,LRCX,Lam Research C,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,LOW,Lowe's Compani,8000,Sell,"Traded $1,001 to $15,000 ."
22/01/2021,John,Boozman,US Senator,MU,Micron Technol,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,MDLZ,Mondelez Intl ,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,PFE,Pfizer Inc,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,PG,Procter & Gamb,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,TRV,The Travelers ,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,UNP,Union Pacific ,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,VZ,Verizon Commun,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,ESGD,EAFE ESG Optim,8000,Sell,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,SCHP,Schwab U.S. TI,32500,Sell,"Traded $15,001 to $50,000 "
22/01/2021,John,Boozman,US Senator,MDYG,S&P Midcap Gro,75000,Sell,"Traded $50,001 to $100,000 "
25/01/2021,Thomas,Carper,US Senator,VIAV,Viavi Solution,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
25/01/2021,Thomas,Carper,US Senator,EVOP,Evo Payments I,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
26/01/2021,Thomas,Carper,US Senator,AQN,Algonquin Pwr ,8000,Buy,"By Spouse. Traded $1,001 To $15,000 "
26/01/2021,William Francis,Hagerty,US Senator,VRM,Vroom Inc,8000,Buy,"Traded $1,001 to $15,000 ."
