Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
09/04/2021,Marie,Newman,US Congressman,GPRO,Gopro Inc Cl A,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
09/04/2021,Marie,Newman,US Congressman,FDX,Fedex Corp,32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
09/04/2021,Joshua,Gottheimer,US Congressman,UFPI,Universal Fore,8000,Sell,"Traded $1,001 to $15,000 ."
09/04/2021,Joshua,Gottheimer,US Congressman,OLLI,Ollies Bargain,8000,Buy,"Traded $1,001 to $15,000 ."
09/04/2021,Joshua,Gottheimer,US Congressman,LAD,Lithia Motors,8000,Sell,"Traded $1,001 to $15,000 "
09/04/2021,Joshua,Gottheimer,US Congressman,GOOG,Alphabet Cl C,8000,Buy,"Traded $1,001 to $15,000 "
09/04/2021,Austin,Scott,US Congressman,NVVE,Nuvve Hldg Cor,8000,Buy,"Traded $1,001 to $15,000 ."
09/04/2021,Tomasz,Malinowski,US Congressman,EQRX,Eqrx Inc,32500,Buy,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,WAB,Wabtec Corp,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,VZ,Verizon Commun,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,VFC,V.F. Corp,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,UPS,United Parcel ,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,TSCO,Tractor Supply,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,TRV,The Travelers ,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,TTEK,Tetra Tech Inc,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,SYK,Stryker Corp,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,SBUX,Starbucks Corp,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,SBAC,SBA Communicat,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,RGA,Reinsurance Gr,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,DGX,Quest Diagnost,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,PG,Procter & Gamb,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,PAYC,Paycom Softwar,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,ORA,Ormat Technolo,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,OMCL,Omnicell Inc,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,NYT,New York Times,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,MRK,Merck & Compan,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,MDT,Medtronic Inc,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,MKC,Mccormick & Co,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,LPLA,Lpl Financial ,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,LIN,Linde Plc,32500,Sell,"Traded $15,001 to $50,000 ."
09/04/2021,Sara,Jacobs,US Congressman,LHCG,LHC Group Inc,32500,Sell,"Traded $15,001 to $50,000 "
